IDDIST	NDISTRITO	
26	SANTOS OSSA
99	
01	CASABLANCA
02	TAPIHUE
03	LA VINILLA
04	LO ORREGO
05	LAGUNILLAS
06	VALLE HERMOSO
07	SAN JERNIMO
08	LAS DICHAS
09	TUNQUN
10	QUINTAY
11	PITAMA
12	LO OROZCO
13	LO OVALLE
99	
01	CONCN
02	REFINERA
99	
01	JUAN FERNNDEZ
99	
01	PLACILLA DE PUCHUNCAV
02	LA LAGUNA
03	LA CANELA
04	SAN ANTONIO
05	PUCALN
06	LAS MELOSILLAS
07	LOS MAITENES
08	CAMPICHE
99	
01	QUINTERO
02	VALLE ALEGRE
03	DUMUO
99	
01	CASTILLO
02	CASINO
03	MAGALHAES
04	REACA
05	ACHUPALLAS
06	OLIVAR
07	CHORRILLOS
08	VERGARA
09	REFINERA
10	LVAREZ
11	RECREO
12	GMEZ CARREO
13	SANTA INS
14	GLORIAS NAVALES
15	MIRAFLORES
16	PABLO NERUDA
17	REACA ALTO
18	QUINTA VERGARA
19	FORESTAL
20	VILLA MONTES
21	RECREO ALTO
99	
01	HANGA ROA
02	VAITEA
99	
01	LA FERIA
02	LABERINTO
03	ESTACIN
04	EL SAUCE
05	RO BLANCO
06	CHACABUCO
99	
01	TABOLANGO
02	EL PATAGUAL
03	SAN VICENTE
04	POCURO
05	EL GUINDAL
99	
01	CARACOLES
02	LOS PLACERES
03	VALLE ALEGRE
04	CASUTO
99	
01	LA ERMITA
02	SAN REGIS
03	LO CALVO
04	CAMPOS DE AHUMADA
05	SAN FRANCISCO
06	RO COLORADO
07	CARIO BOTADO
08	LA FLORIDA
09	LAS JUNTAS
99	
01	LA LIGUA NORTE
02	LA LIGUA SUR
03	QUEBRADILLA
04	LA HIGUERA
05	PLACILLA
06	PUEBLO DE ROCO
07	CASAS VIEJAS DE LONGOTOMA
08	HUAQUN
09	LOS MOLLES
10	LOS HORNOS
11	TRAPICHE
12	LA ENGORDA
13	PUEBLO DE VARAS
99	
01	ARTIFICIO
02	EL INGENIO
03	PEABLANCA
04	EL QUEMADO
