IDDIST	NDISTRITO	
01	LOS ULMOS
02	PULICN
03	PAILLACO
04	ITROPULLI
05	REUMN
99	
01	PANGUIPULLI
02	PANGUILELFN
03	CALAFQUN
04	MELEFQUN
05	COARIPE
06	LIQUIE
07	CHOSHUENCO
08	COIHUECO
09	EL DESAGE
10	CORRELTU
11	NELTUME
12	RO HUAHUM
99	
01	LA UNIN
02	CUDICO
03	CUNCOS
04	EL PELIGRO
05	CENTINELA
06	GUACAHUE
07	ROFUCO
08	LOS CHILCOS
09	TRAIGUN
99	
01	FUTRONO
02	HUITE
03	LLIFN
04	LONCOPN
05	QUIMN
06	MAIHU
99	
01	LAGO RANCO
02	RIINAHUE
03	IGNAO
04	LAGO MAIHU
05	RUPUMEICA
99	
01	RO BUENO
02	PURRIHUN
03	PAILLAHUE
05	LICN
06	PUYEHUE
07	COCULE
08	CAYURRUCA
09	VIVANCO
10	SAN PABLO
11	MAIHUE
99	
01	PUERTO
02	REGIMIENTO
03	CHINCHORRO
04	SAN JOS
05	POBLACIN CHILE
06	AZAPA
07	JOSE MANUEL BALMACEDA
08	CARLOS DITTBORN
09	PARQUE LAUCA
10	JOSE MIGUEL CARRERA
11	CONDELL
12	FUERTE CIUDADELA
13	CHACA
14	EL MORRO
15	CHACALLUTA
16	MOLINOS
17	PEDRO BLANQUIER
18	CANCHA RAYADA
19	LAS TORRES
99	
01	CODPA
02	CARITAYA
03	ESQUIA
04	CAMARONES
05	CUYA
01	PUTRE
02	CAQUENA
03	PARINACOTA
04	SOCOROMA
05	BELN
06	LAUCA
07	TIGNAMAR
08	SURIRE
09	ITIZA
99	
01	VISVIRI
02	NASAHUENTO
03	CORONEL ALCRRECA
04	TACORA
99	
01	PLAZA DE ARMAS
02	MERCADO
03	ESTADIO
04	CHILLN
05	CEMENTERIO
06	EL GUAPE
07	LOS GUINDOS
08	CONFLUENCIA
09	SANTA PATRICIA
10	RINCONADA DE CATO
11	LLUANCO
12	BOYN
13	ESCUELA DE AGRONOMA
14	PUENTE UBLE
15	SAN BERNARDO
16	VICUA MACKENNA
17	CARDENAL CARO
99	
01	BULNES
02	EL ROBLE
03	LIBUY
04	SANTA CLARA
05	PUEBLO SECO
06	LOS TILOS
07	BULNES CHICO
08	RINCONADA DE COLTN
99	
01	LOMAS BLANCAS
02	RUCAPEQUN
03	LLOLLINCO
04	CHILLN VIEJO
05	QUILMO
99	
01	EL CARMEN
02	RINCONADA
03	MAIPO
04	TEMUCOTILLO
05	TREGUALEMU
06	PALOS BLANCOS
07	ISLA DE SAN VICENTE
99	
01	PEMUCO
02	SAN LUS DE PALPAL
03	CARTAGO
04	EL CIPRS
05	QUILAMN CHICO
06	CULENCO
07	VALLE HERMOSO
08	ESTACIN GENERAL CRUZ
09	CHEQUENES
99	
01	PINTO
02	PINCURA
03	TESTAMENTADURA
04	TRELLENCAS
05	RECINTO
06	ATACALCO
99	
01	QUILLN
02	CERRO NEGRO
03	PASO HONDO
04	QUEIME
05	BULLUQUN
06	COYANCO
99	
01	SAN IGNACIO
02	MONTENEGRO
03	SAN MIGUEL
04	VEGAS DE SANTA JUANA
05	QUIRIQUINA
06	PUEBLO SECO
99	
01	YUNGAY
02	EL PEDREGAL
03	CHOLGUN GRANDE
04	LAS CRUCES
05	EL AVELLANO
06	COLONIA SANTA LUCA
07	ENTRE ROS
08	CURAPASO
09	CAMPANARIO
10	PANGAL DEL LAJA
99	
01	QUIRIHUE
02	SAN JUAN DE DIOS
03	MANQUIMILI
04	CURIMAQUI
05	HUEDQUE
06	CHIRIPA
99	
01	BUCHUPUREO
02	COBQUECURA
03	TAUC
04	COLMUYAO
05	POTREROS DEL REY
99	
01	COELEMU
02	RANGUELMO
03	EL CALABOZO
04	VEGAS DE ITATA
99	
01	SAN JOS
02	NINHUE
03	SAN FRANCISCO
04	LLOHU
99	
01	PORTEZUELO
02	LLAHUECUY
03	ORILLA DE ITATA
99	
01	IPAS
02	CAPILLA DE RNQUIL
03	SAN IGNACIO DE PALOMARES
99	
01	QUILPOLEMU
02	TREGUACO
03	DENECN
01	CEMENTERIO
02	PLAZA DE ARMAS
03	MEDIALUNA
04	SAN CARLOS DE PONIENTE
05	COCHARCAS
06	QUILELTO
07	MONTE BLANCO
08	CACHAPOAL
09	LAS ARBOLEDAS
10	AGUA BUENA
11	BULI
12	MILLAUQUN
13	TOQUIGUA
14	COLOMVIDA
99	
01	COIHUECO
02	RANQUILILAHUE
03	LOS GUINDOS
04	COIHUECO PONIENTE
05	RELBUNCO
06	TIERRA BLANCA
07	SANTA GERTRUDIS
08	MOGOTILLO
09	LAS MINAS DEL PRADO
10	BUSTAMANTE
11	NAHUELTORO
12	CHACAYAL
99	
01	SAN GREGORIO
02	SAN VICENTE
03	TIUQUILEMU
04	IQUN
05	LA FLOR DE IQUN
06	BELN
99	
01	LOS MONOS
02	TRABUNCURA
03	SAN FABIN DE ALICO
04	LARA
05	EL ROBLE GUACHO
99	
01	QUILLAHUE
02	SAN NICOLS
03	MARAVILLA
04	VERQUIC
05	MONTE LEN
06	DADINCO
07	ESTERO CUCHA
