IDZC	NLOCALIDAD	
010	TOTORALILLO
901	INDETERMINADA
003	BARRANQUILLA
007	PUERTO VIEJO
002	BAHA SALADA
003	BARRANQUILLA
999	
001	
002	
003	
002	BUITRN
003	CASA BLANCA
022	NANTOCO
029	TIERRA AMARILLA
024	QUEBRADA CARRIZALILLO
901	INDETERMINADA
006	CUESTECILLA
009	EMBALSE LAUTARO
014	LA JUNTA
019	LLANO DEL NEGRO FRANCISCO
025	RO JORQUERA
026	RO MANFLAS
027	RO PULIDO
001	AMOLANA
009	EMBALSE LAUTARO
010	GOYO DAZ
028	SAN ANTONIO
031	VIA DEL CERRO
901	INDETERMINADA
013	LA APACHETA
020	LOS LOROS
021	MANTO DEL INDIO
901	INDETERMINADA
008	ELISA DE BORDOS
011	HORNITOS
016	LA PUERTA
021	MANTO DEL INDIO
030	TRES SOLES
901	INDETERMINADA
004	CERRILLOS
012	JOTABECHE
018	LAS TERRAZAS
023	PABELLN
901	INDETERMINADA
999	
001	
002	
003	
004	
005	
006	
002	CERRO NEGRO
003	CHAARAL
005	EL CALEUCHE
011	PAN DE AZCAR
901	INDETERMINADA
001	ASPERA
002	CERRO NEGRO
006	EL SALADO
013	SIERRA ALBAYAY
014	SIERRA DE LAS NIMAS
017	SIERRA MERCEDITAS
018	SIERRA SALADO
901	INDETERMINADA
004	CONCHILLAS
007	FLAMENCO
008	LOS MDANOS
009	LOS POZOS
010	LOS TOYOS
012	PORTOFINO
015	SIERRA DESIERTO
016	SIERRA GUANAQUERO
019	SIERRA TROPEZN
020	TORRES DEL INCA
901	INDETERMINADA
999	
001	
002	
003	
003	CHAARCITO
005	EL MANTO
011	LA QUINTA
015	PAMPA AUSTRAL
018	QUEBRADA EL SALADO
020	SIERRA CABALLO MUERTO
023	SIERRA PUEBLO HUNDIDO
901	INDETERMINADA
001	
002	
003	
007	EL SALVADOR
901	INDETERMINADA
010	LA OLA
901	INDETERMINADA
003	CHAARCITO
006	EL PINGO
008	INCA DE ORO
009	LA FINCA
017	QUEBRADA DE VARAS
021	SIERRA CHIVATO
901	INDETERMINADA
001	
001	
002	
001	
002	
003	
004	
